source,target,edge
100  list,inspiring  films,cheers
motel  truckstop,south st,was
animated  cartoon,1906,produced in
2  dvd,september,released on
cinematography,photography,is
score,vijay antony,composed by
scenes,also  mansfield,filmed in
plot,speed force multiverse,revealed
immortal  story,cuts,screened without
this,cropped  1.37,is
same  method,mclaren,applied for
coat,stairs,seen
award,rajat kamal cash prize,includes
beijing film academy,1956,opened
film,close premiere version,restored
other  examples,tall  man,include
ali bhai,hyderabad,visits
producer gary kurtz,film,turned to
batman series,grossing north america,is
lobo,then  money,fails at
production,officially  january,wrapped on
fletcher,executive producer credit,received
baby noor jehan,first  actress,was first
central  powers,war documentaries,produced
then  we,blocks,started
national film awards,also  1954,introduced in
rating,2011,is
basil rathbone,scarlet sherlock holmes,sees
rudd,integral  kingsman,were integral
they,metallized  types,produced as metallized
deckard defeat who,afterwards  director,working
sony pictures classics,.,acquired
dougherty,,changed
around  nurse,back  her,turns
movie,entirely  london,shot
i,something,wanted
original production budget,$ 48 million,escalated from
he,very  evil,is
yuri,relationship,renew
it,snowballs,compressed into
camera rig,producer,was
verna,happy  couple,is
freeman,additional  takes,refused
film,telugu,was
nick urata,soundtrack,composed
original  plan,type instant packfilm type products,was
new  combine,one united world year,was
he,fire fight,'s deadly
he,also  ranbaxy,is
giovanni,slightly  behavior,seems
each,state  borders,have
they,realistic  story,depict
cfcc,precise  roles,has
theatrical  poster,april,released
i,guy,liked
,,sequels
art film,independent niche market,is
hook,barracks,returned to
clockwork orange,influential  cinema,remains
film,aneurin barnard,stars
take,everyone,inform
,william fox.in,partner
,old work action song,version of
early  features,noteworthy style events,were
it,more  responsibility,'s
christian,then  elder,paralyzed by
jack nicholson,1980,been uslan
tollygunge,indian film industry,was
